date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,98526002.366638,19930739.366638012,4,0.7977108693350703
2025-01-06,97758399.366638,19930739.366638012,4,0.7961224867043009
2025-01-07,98284801.23290801,38759755.23290801,3,0.6056383617131399
2025-01-08,98233067.23290801,38759755.23290801,3,0.6054306729422421
2025-01-09,98254255.23290801,38759755.23290801,3,0.6055157596886824
2025-01-10,98050444.23290801,38759755.23290801,3,0.6046957712823974
2025-01-13,98438053.364332,57836104.364332005,2,0.4124619251635028
2025-01-14,99023626.364332,57836104.364332005,2,0.41593631249638435
2025-01-15,99322012.364332,57836104.364332005,2,0.4176909731532806
2025-01-16,99453640.364332,57836104.364332005,2,0.4184616656317559
2025-01-17,100068238.364332,57836104.364332005,2,0.42203335134410724
2025-01-20,99370225.364332,57836104.364332005,2,0.4179735010937016
2025-01-21,99499594.364332,57836104.364332005,2,0.41873024976808615
2025-01-22,99243973.364332,57836104.364332005,2,0.4172330832421293
2025-01-23,99794020.364332,57836104.364332005,2,0.4204451914735809
2025-01-24,99899714.55468601,19241384.554686014,4,0.8073929976631404
2025-02-03,99893454.55468601,19241384.554686014,4,0.8073809276046966
2025-02-04,102224466.55468601,19241384.554686014,4,0.8117731967386435
2025-02-05,103090888.55468601,19241384.554686014,4,0.8133551390967093
2025-02-06,103783376.55468601,19241384.554686014,4,0.8146005150974516
2025-02-07,103254229.55468601,19241384.554686014,4,0.8136503982677504
2025-02-10,102796993.22757801,42177860.227578014,3,0.5896975300220874
2025-02-11,103654530.55277401,21068901.55277402,4,0.7967392120690072
2025-02-12,104134990.55277401,21068901.55277402,4,0.7976770205582665
2025-02-13,104166578.55277401,21068901.55277402,4,0.7977383740016012
2025-02-14,104036245.55277401,21068901.55277402,4,0.7974849876518614
2025-02-17,103203874.55277401,21068901.55277402,4,0.7958516417714503
2025-02-18,103661692.55277401,21068901.55277402,4,0.796753255383633
2025-02-19,106449499.55277401,21068901.55277402,4,0.8020760863950444
2025-02-20,106013011.55277401,21068901.55277402,4,0.8012611730939672
2025-02-21,106226450.93874203,43669923.93874203,3,0.5888978352112572
2025-02-24,106528191.32634203,21813877.32634203,4,0.7952290651446745
2025-02-25,106667442.32634203,21813877.32634203,4,0.7954963871768491
2025-02-26,106486643.32634203,21813877.32634203,4,0.7951491694644689
2025-02-27,106366629.32634203,21813877.32634203,4,0.7949180352475478
2025-02-28,105623053.32634203,21813877.32634203,4,0.7934742782056867
2025-03-03,106262382.32634203,21813877.32634203,4,0.7947168428866058
2025-03-04,106939862.66237003,43936368.66237003,3,0.5891488209491562
2025-03-05,106403355.25614004,21946224.25614004,4,0.7937449979532142
2025-03-06,108179799.25614004,21946224.25614004,4,0.7971319561780901
2025-03-07,109078618.25614004,21946224.25614004,4,0.7988036096624768
2025-03-10,109790085.25614004,21946224.25614004,4,0.8001074122044851
2025-03-11,110333894.25614004,21946224.25614004,4,0.8010926342797989
2025-03-12,109850218.25614004,21946224.25614004,4,0.8002168352094888
2025-03-13,109225038.81216805,64616926.81216805,2,0.4084055495435585
2025-03-14,109338272.20037806,21499030.200378057,4,0.8033714108726905
2025-03-17,109620437.20037806,21499030.200378057,4,0.803877536438945
2025-03-18,108989612.25741807,42743667.25741806,3,0.607818888680294
2025-03-19,108864154.98058507,42387074.98058507,3,0.6106425022254165
2025-03-20,109360721.98058507,42387074.98058507,3,0.6124104320734999
2025-03-21,109302621.98058507,42387074.98058507,3,0.6122044081603634
2025-03-24,110615796.98058507,42387074.98058507,3,0.6168081220078836
2025-03-25,110437731.98058507,42387074.98058507,3,0.6161902800753215
2025-03-26,109480629.98058507,42387074.98058507,3,0.6128349372112505
2025-03-27,110097813.67998508,65218121.67998507,2,0.40763472497691183
2025-03-28,110206483.67998508,65218121.67998507,2,0.408218831576517
2025-03-31,109579819.67998508,65218121.67998507,2,0.4048345592240716
2025-04-01,109510515.77441107,88265530.77441107,1,0.1939994972150815
2025-04-02,109130170.77441107,88265530.77441107,1,0.1911903908143829
2025-04-03,109392651.20571107,109392651.20571107,0,0.0
2025-04-04,109392651.20571107,109392651.20571107,0,0.0
2025-04-08,109392651.20571107,109392651.20571107,0,0.0
2025-04-09,109392651.20571107,109392651.20571107,0,0.0
2025-04-10,109392651.20571107,109392651.20571107,0,0.0
2025-04-11,109392651.20571107,109392651.20571107,0,0.0
2025-04-14,109392651.20571107,109392651.20571107,0,0.0
2025-04-15,109392651.20571107,109392651.20571107,0,0.0
2025-04-16,109392651.20571107,109392651.20571107,0,0.0
2025-04-17,109392651.20571107,109392651.20571107,0,0.0
2025-04-18,109392651.20571107,109392651.20571107,0,0.0
2025-04-21,109392651.20571107,109392651.20571107,0,0.0
2025-04-22,109392651.20571107,109392651.20571107,0,0.0
2025-04-23,109392651.20571107,109392651.20571107,0,0.0
2025-04-24,109392651.20571107,109392651.20571107,0,0.0
2025-04-25,109392651.20571107,109392651.20571107,0,0.0
2025-04-28,109392651.20571107,109392651.20571107,0,0.0
2025-04-29,109392651.20571107,109392651.20571107,0,0.0
2025-05-05,109392651.20571107,109392651.20571107,0,0.0
2025-05-06,108513711.14939508,21793399.149395082,4,0.799164557929539
2025-05-07,109902573.14939508,21793399.149395082,4,0.8017025577756909
2025-05-08,110677063.14939508,21793399.149395082,4,0.8030901929519243
2025-05-09,110037353.14939508,21793399.149395082,4,0.8019454437457552
2025-05-12,110492857.14939508,21793399.149395082,4,0.8027619186285618
2025-05-13,110078425.14939508,21793399.149395082,4,0.802019341030563
2025-05-14,111524825.14939508,21793399.149395082,4,0.8045870135173819
2025-05-15,110853667.14939508,21793399.149395082,4,0.8034038953350584
2025-05-16,111449473.14939508,21793399.149395082,4,0.8044548930241994
2025-05-19,111221185.14939508,21793399.149395082,4,0.80405352523333
2025-05-20,111989867.14939508,21793399.149395082,4,0.8053984730571868
2025-05-21,113978367.14939508,21793399.149395082,4,0.8087935483333449
2025-05-22,114100199.14939508,21793399.149395082,4,0.8089977115564866
2025-05-23,114665665.14939508,21793399.149395082,4,0.8099396264696935
2025-05-26,116573108.01047508,42970260.010475084,3,0.6313878840168365
2025-05-27,117289126.01047508,42970260.010475084,3,0.6336381600572468
2025-05-28,116622602.01047508,42970260.010475084,3,0.631544321000354
2025-05-29,116124440.18029909,71337870.18029909,2,0.38567738135454277
2025-05-30,115671734.18029909,71337870.18029909,2,0.38327309877533444
2025-06-02,116470216.18029909,71337870.18029909,2,0.3875011782422889
2025-06-03,116479321.7844171,35634688.78441709,3,0.6940685416217423
2025-06-04,116028873.0739591,17804624.073959097,4,0.8465500560139881
2025-06-05,116150473.0739591,17804624.073959097,4,0.8467107054947425
2025-06-06,114443785.4533791,35007604.453379095,3,0.6941065492137175
2025-06-09,112819863.02439909,68956031.02439909,2,0.3887952956520941
2025-06-10,112971470.58139908,34444110.58139909,3,0.6951078851666258
2025-06-11,112837505.30016209,40318523.30016209,3,0.6426850877914245
2025-06-12,113980411.30016209,40318523.30016209,3,0.6462679609570354
2025-06-13,113586641.4628121,20140878.462812096,4,0.8226826834262359
2025-06-16,115302123.4628121,20140878.462812096,4,0.8253208366166123
2025-06-17,116221175.2672341,38055719.2672341,3,0.672557783211791
2025-06-18,116566748.0826461,19009095.08264611,4,0.8369252347232968
2025-06-19,117159770.0826461,19009095.08264611,4,0.8377506624566025
2025-06-20,117033555.0826461,19009095.08264611,4,0.8375756844332177
2025-06-23,116761967.0826461,19009095.08264611,4,0.8371978859418227
2025-06-24,117896305.0826461,19009095.08264611,4,0.8387642846879672
2025-06-25,118536834.0826461,19009095.08264611,4,0.8396355425741115
2025-06-26,119378482.0826461,19009095.08264611,4,0.8407661518975753
2025-06-27,119127563.6990461,57501547.699046105,3,0.5173111418251346
2025-06-30,120056673.1991561,28724189.199156113,4,0.7607447513433346
2025-07-01,120215405.1991561,28724189.199156113,4,0.7610606631357281
2025-07-02,123174702.1991561,28724189.199156113,4,0.7668012287725028
2025-07-03,122029581.1991561,28724189.199156113,4,0.7646129002747512
2025-07-04,121805843.1991561,28724189.199156113,4,0.7641805315350002
2025-07-07,122697761.1991561,28724189.199156113,4,0.7658947570157159
2025-07-08,123624695.7575401,50725223.757540114,3,0.5896837323100447
2025-07-09,124096682.45655812,25337542.45655812,4,0.795824175513895
2025-07-10,123873893.45655812,25337542.45655812,4,0.7954569623223811
