symbol,setup_type,signal_date,entry_date,exit_date,entry_price,exit_price,shares,entry_value,pnl,pnl_pct,holding_bars,exit_reason,priority_score,edge_strategy_name,edge_strategy_passed,edge_score,edge_rank,edge_rank_score,edge_risk,reasons
DBC,EDGE_MEAN_REVERSION,2025-01-02,2025-01-03,2025-01-07,24.704679999999996,23.306669999999997,809500,19998438.459999997,-1189421.032189995,-0.059416279014346846,2,EDGE_ATR_STOP,2.3571,mean_reversion_uptrend_ma50_v1,True,64.209,2.0,2.3571,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=64.209"
TPB,EDGE_MEAN_REVERSION,2025-01-02,2025-01-03,2025-01-13,14.67466,14.02596,1362800,19998626.648,-942276.1432239972,-0.047069972602829795,6,EDGE_ATR_STOP,2.6286,mean_reversion_uptrend_ma50_v1,True,52.9701,1.0,2.6286,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=52.9701"
CTD,EDGE_BREAKOUT,2025-01-02,2025-01-03,2025-02-10,62.702639999999995,72.06786,318900,19995871.895999998,2920607.904996,0.14591462827709342,21,EDGE_TRAILING_ATR_STOP,3.725,breakout_after_accumulation_v3,True,100.0,1.0,3.725,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=100.0"
REE,EDGE_COMPRESSION,2025-02-10,2025-02-11,2025-02-21,56.59653999999999,60.779160000000005,372600,21087870.803999998,1492063.7111640088,0.07068390886306301,8,EDGE_TRAILING_ATR_STOP,4.5,compression_breakout_smt_v1,True,68.9144,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=68.9144"
VGC,EDGE_BREAKOUT,2025-01-02,2025-01-03,2025-03-04,44.82478,49.69026,446100,19996334.358,2106160.643670004,0.10522211468429184,37,EDGE_TRAILING_ATR_STOP,2.425,breakout_after_accumulation_v3,True,100.0,2.0,2.425,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=100.0"
HHV,EDGE_COMPRESSION,2025-01-23,2025-01-24,2025-03-13,11.561549999999999,12.04794,1667400,19277728.47,751551.4872180037,0.038946532922686836,29,EDGE_TRAILING_ATR_STOP,4.5,compression_breakout_smt_v1,True,84.2398,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=84.2398"
VRE,EDGE_COMPRESSION,2025-03-04,2025-03-05,2025-03-13,17.717699999999997,18.2817,1239900,21968176.229999997,632000.4641100056,0.028740168888156756,6,EDGE_TRAILING_ATR_STOP,4.5,compression_breakout_smt_v1,True,97.8482,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=97.8482"
VIC,EDGE_BREAKOUT,2025-03-13,2025-03-14,2025-03-19,25.925899999999995,25.374599999999997,830800,21539237.719999995,-521721.7130799964,-0.0241977232129935,3,EDGE_ATR_STOP,4.1,breakout_after_accumulation_v3,True,100.0,1.0,4.1,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=100.0"
CTG,LINREG_MOMENTUM,2025-01-23,2025-01-24,2025-03-20,26.176149999999996,28.48149,736400,19276116.859999996,1636428.7206680067,0.08480929736079977,34,EDGE_TRAILING_ATR_STOP,3.0125,linreg_momentum_refined_v1,True,91.8764,1.0,3.0125,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=91.8764"
VCI,EDGE_COMPRESSION,2025-02-21,2025-02-24,2025-03-27,26.306279999999997,27.56241,830000,21834212.4,975000.087000005,0.04461008453591237,23,EDGE_TRAILING_ATR_STOP,4.5,compression_breakout_smt_v1,True,91.7683,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=91.7683"
SSB,EDGE_COMPRESSION,2025-03-13,2025-03-14,2025-04-03,19.819799999999997,19.4805,1086700,21538176.659999996,-432594.4053599946,-0.02006494096222525,14,EDGE_ATR_STOP,4.5,compression_breakout_smt_v1,True,77.1832,1.0,4.5,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=77.1832"
KDC,LINREG_MOMENTUM,2025-05-05,2025-05-06,2025-05-27,55.52546999999999,54.1458,386900,21482804.343,-597175.147382997,-0.027770050841084595,15,EDGE_ATR_STOP,3.7,linreg_momentum_refined_v1,True,85.029,1.0,3.7,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=85.029"
GEX,EDGE_BREAKOUT,2025-05-05,2025-05-06,2025-05-29,18.63862,24.21576,1152700,21484737.274,6351457.527622003,0.29533116157233197,17,EDGE_TAKE_PROFIT,3.325,breakout_after_accumulation_v3,True,100.0,1.0,3.325,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=100.0"
PAN,EDGE_BREAKOUT,2025-06-02,2025-06-03,2025-06-09,27.96794,26.673299999999998,836300,23389588.222,-1150710.7818019986,-0.04914841636673844,4,EDGE_STOP_LOSS,4.1,breakout_after_accumulation_v3,True,100.0,1.0,4.1,"{'stop_loss': 0.09, 'take_profit': 0.35, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=100.0"
DXS,LINREG_MOMENTUM,2025-06-02,2025-06-03,2025-06-09,7.217209999999999,8.98101,3240800,23389534.167999998,5634522.191416003,0.2406586320910556,4,EDGE_TAKE_PROFIT,2.975,linreg_momentum_refined_v1,True,86.9701,1.0,2.975,"{'setup_type': 'LINREG_MOMENTUM', 'stop_loss': 0.08, 'take_profit': 0.28, 'max_holding_bars': 40, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 2.8, 'trailing_profit_activation': 0.1, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=86.9701"
POW,EDGE_COMPRESSION,2025-05-05,2025-05-06,2025-06-11,10.23022,10.82916,2100200,21485508.044,1190921.476292003,0.05537368453708488,26,EDGE_TRAILING_ATR_STOP,3.7,compression_breakout_smt_v1,True,88.3591,1.0,3.7,"{'stop_loss': 0.07, 'take_profit': 0.22, 'max_holding_bars': 30, 'initial_atr_stop_mult': 2.0, 'trailing_atr_mult': 2.5, 'trailing_profit_activation': 0.08, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=88.3591"
MSN,EDGE_MEAN_REVERSION,2025-06-09,2025-06-10,2025-06-27,64.5645,72.2277,385400,24883158.299999997,2872841.010540005,0.11533789259784218,13,EDGE_TRAILING_ATR_STOP,2.75,mean_reversion_uptrend_ma50_v1,True,72.3715,1.0,2.75,"{'stop_loss': 0.08, 'take_profit': 0.25, 'max_holding_bars': 45, 'initial_atr_stop_mult': 2.3, 'trailing_atr_mult': 3.0, 'trailing_profit_activation': 0.12, 'use_regime_exposure': True}","Edge strategy passed: breakout_after_accumulation_v3,compression_breakout_smt_v1,mean_reversion_uptrend_ma50_v1,linreg_momentum_refined_v1 | edge_score=72.3715"
