date,equity,cash,positions,gross_exposure
2025-01-02,100000000.0,100000000.0,0,0.0
2025-01-03,100000000.0,100000000.0,0,0.0
2025-01-06,100000000.0,100000000.0,0,0.0
2025-01-07,100000000.0,100000000.0,0,0.0
2025-01-08,100000000.0,100000000.0,0,0.0
2025-01-09,100000000.0,100000000.0,0,0.0
2025-01-10,100000000.0,100000000.0,0,0.0
2025-01-13,100000000.0,100000000.0,0,0.0
2025-01-14,100000000.0,100000000.0,0,0.0
2025-01-15,100000000.0,100000000.0,0,0.0
2025-01-16,100000000.0,100000000.0,0,0.0
2025-01-17,100000000.0,100000000.0,0,0.0
2025-01-20,100000000.0,100000000.0,0,0.0
2025-01-21,100000000.0,100000000.0,0,0.0
2025-01-22,100000000.0,100000000.0,0,0.0
2025-01-23,100000000.0,100000000.0,0,0.0
2025-01-24,99698431.07399401,19926086.07399402,4,0.8001364127866235
2025-02-03,98875923.07399401,19926086.07399402,4,0.7984738300841725
2025-02-04,100433965.07399401,19926086.07399402,4,0.8016001254225739
2025-02-05,100531814.07399401,19926086.07399402,4,0.8017932307545163
2025-02-06,101159978.07399401,19926086.07399402,4,0.8030240174684601
2025-02-07,102501303.07399401,19926086.07399402,4,0.805601631624042
2025-02-10,102853039.07399401,19926086.07399402,4,0.8062664336086474
2025-02-11,103239813.07399401,19926086.07399402,4,0.8069922302192412
2025-02-12,102894803.07399401,19926086.07399402,4,0.8063450681793453
2025-02-13,103404394.07399401,19926086.07399402,4,0.8072994261758807
2025-02-14,103036307.07399401,19926086.07399402,4,0.8066110224652715
2025-02-17,102647314.07399401,19926086.07399402,4,0.805878154204501
2025-02-18,102996632.07399401,19926086.07399402,4,0.8065365277218106
2025-02-19,103394185.07399401,19926086.07399402,4,0.8072803991855643
2025-02-20,104046956.07399401,19926086.07399402,4,0.8084894856527722
2025-02-21,104610467.07399401,19926086.07399402,4,0.8095211059530045
2025-02-24,105073379.07399401,19926086.07399402,4,0.8103602810759345
2025-02-25,104773585.07399401,19926086.07399402,4,0.8098176552809407
2025-02-26,104008780.07399401,19926086.07399402,4,0.8084191924968432
2025-02-27,104033266.07399401,19926086.07399402,4,0.808464284300932
2025-02-28,103814824.07399401,19926086.07399402,4,0.8080612643547737
2025-03-03,104006304.07399401,19926086.07399402,4,0.8084146316763853
2025-03-04,104427925.92912802,40891110.92912802,3,0.6084274338946505
2025-03-05,103999765.92912802,40891110.92912802,3,0.6068153561326879
2025-03-06,104810752.92912802,40891110.92912802,3,0.609857674080653
2025-03-07,105146898.14694902,20426063.146949027,4,0.8057378438458319
2025-03-10,105215054.14694902,20426063.146949027,4,0.8058636826017227
2025-03-11,105378283.14694902,20426063.146949027,4,0.8061643961454081
2025-03-12,105025860.14694902,20426063.146949027,4,0.8055139646714676
2025-03-13,104195143.93052103,40436676.930521026,3,0.6119139970910271
2025-03-14,104038907.93052103,40436676.930521026,3,0.6113312054608903
2025-03-17,104343499.93052103,40436676.930521026,3,0.6124657793015712
